restaurantname,pricerange,area,food,phone,addr,postcode,good food,busy,long stay
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,TRUE,FALSE,TRUE
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,TRUE,FALSE,TRUE
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,TRUE,FALSE,TRUE
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,TRUE,FALSE,TRUE
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,TRUE,FALSE,TRUE
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,TRUE,FALSE,TRUE
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,TRUE,FALSE,TRUE
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,TRUE,FALSE,TRUE
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,TRUE,FALSE,TRUE
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,TRUE,FALSE,TRUE
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,FALSE,FALSE,TRUE
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,FALSE,TRUE,TRUE
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,FALSE,TRUE,TRUE
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,FALSE,TRUE,TRUE
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,FALSE,TRUE,TRUE
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,FALSE,TRUE,TRUE
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,FALSE,TRUE,TRUE
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,FALSE,TRUE,TRUE
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,FALSE,TRUE,TRUE
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,FALSE,TRUE,TRUE
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,FALSE,TRUE,TRUE
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,FALSE,TRUE,TRUE
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,FALSE,TRUE,TRUE
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,FALSE,TRUE,TRUE
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,FALSE,TRUE,TRUE
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,FALSE,TRUE,TRUE
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,FALSE,TRUE,TRUE
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,FALSE,TRUE,TRUE
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,FALSE,TRUE,TRUE
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,FALSE,TRUE,TRUE
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,FALSE,TRUE,TRUE
the golden curry,expensive,south,australasian,01223 329432,,,FALSE,TRUE,FALSE
curry queen,moderate,north,indian,,106 mill road city centre,c.b 1,FALSE,TRUE,FALSE
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,FALSE,TRUE,FALSE
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,FALSE,TRUE,FALSE
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,FALSE,TRUE,FALSE
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,FALSE,TRUE,FALSE
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,FALSE,TRUE,FALSE
saffron brasserie,expensive,centre,jamaican,,,,FALSE,TRUE,FALSE
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,FALSE,TRUE,FALSE
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,FALSE,TRUE,FALSE
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,FALSE,FALSE,FALSE
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,FALSE,FALSE,FALSE
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,FALSE,FALSE,FALSE
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,FALSE,FALSE,FALSE
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,FALSE,FALSE,FALSE
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,FALSE,FALSE,FALSE
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,FALSE,FALSE,FALSE
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,FALSE,FALSE,FALSE
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,FALSE,FALSE,FALSE
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,FALSE,FALSE,FALSE
panahar,expensive,centre,mediterranean,,,,FALSE,FALSE,FALSE
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,FALSE,FALSE,TRUE
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,FALSE,FALSE,TRUE
sesame restaurant and bar,moderate,north,turkish,,,,FALSE,FALSE,TRUE
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,FALSE,FALSE,TRUE
